attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,target
1,1,166,10,13,0,0,7601,43378,0,0,0,0,0,0,0,0.8,3.6,1,7065,1854920,97
35,17,6334,365,246,5.6,10.2,447472,85784,3.6,6,6,0,2.2,33.2,38.6,326.2,659.2,7.2,727,1290646,62
18,14,2213,265,185,0.6,0.6,135093,112728,3.6,6,6,0,1.4,8,10.2,69.6,88.4,2,190,1065816,88
2,1,1393,135,111,0.4,0.4,12864,54844,0,0,0,0,0,1.4,1.4,31.2,86.2,1,699,1062579,95
36,51,1700,145,113,0.2,0.2,265148,97093,0,0,0,0,0,1.2,1.2,22,43.2,1,1211,1100832,89
50,59,678,54,96,0.4,0.2,54423,111830,0,0,0,0,0,0.6,0.8,20.2,22.6,1,495,1065461,94
80,89,2360,231,184,2.6,1.6,234714,46287,0,0,0,0,0.2,17.6,18.8,165.2,316.6,4.6,7774,1365789,86
2,1,306,18,26,1,1,18417,62482,0,0,0,0,0,0,0,69.4,74,1.2,7544,1865267,95
15,9,5763,322,275,4.2,3.4,225329,158009,0,0,0,0,0,0.6,0.6,266.2,356.8,6.2,1164,1614413,78
1,0,459,93,44,0.2,0.2,333283,30776,0,0,0,0,0,0.6,0.6,20.8,19.6,2.6,2006,1719051,94
2,1,3440,219,187,0.6,0.6,163473,64164,0,0,0,0,1.2,5.21,7.41,205.81,162.53,1.8,735,1123065,83
5,3,842,52,30,1,1.2,118262,20988,0,0,0,0,0,0.4,0.4,87.8,111.6,1.4,6699,1840197,93
1,0,3162,262,164,1,0.4,263084,234498,0,0,0,0,0,0.8,0.8,52.6,71.8,4.8,1358,1616242,91
8,0,1646,162,129,1.2,1.2,29000,67970,4.41,7.82,7.62,0,0.4,6.81,9.02,246.09,123.45,1.7,200,1073063,90
14,17,442,20,13,4.01,2.61,53077,7000,0,0,0,0,0,0,0,139.48,216.83,1,9034,1877243,95
10,1,2728,242,216,8.78,17.96,347537,75449,4.19,34.53,51.5,165.27,0.6,30.74,56.29,333.13,581.24,1,153,1100479,71
1,0,4748,256,168,0.8,3,11643,46726,0,0,0,0,0,2.8,2.8,32.2,70.8,1.3,726,1116712,86
64,1,1877,196,186,2.79,2.2,53123,30434,0,0,0,0,0,7.39,8.98,182.24,234.73,4,962,1125137,86
7,1,2766,314,264,6.99,2.4,246241,11230,0,0,0,0,0,0,0,345.91,489.02,3.2,7164,1858774,81
0,0,2879,140,148,0.2,0.2,5634,34852,0,0,0,0,0,0.2,0.2,15.6,16.8,2.4,266,1709136,93
3,0,4115,247,134,1.2,4,199866,106274,0,0,0,0,0,2.6,3.6,68.4,113.8,2.6,3433,1428013,87
0,0,423,30,25,0.2,0.2,1119,11172,0,0,0,0,0,0.2,0.2,15.6,17,3,1279,1712942,98
44,43,985,148,130,0.2,0.2,29097,34174,1.2,1.2,1.2,0,0.8,10.4,14.6,23,179.2,1.4,219,990363,92
1,1,372,25,33,0.2,0.2,7977,18631,0,0,0,0,0,0,0,15.6,17,1,7591,1869464,97
51,76,2023,193,101,0.2,0.2,130770,18136,0,0,0,0,0,1,1.2,15.8,19,2.4,3438,1710080,91
28,28,2755,385,340,7.82,2.2,249104,74852,0,0,0,0,0,0,0,372.75,548.3,2,7525,1868382,78
4,0,1511,87,61,1.2,3.6,28598,3684,0,0,0,0,0,9.8,11.2,54,122,2,409,1382992,94
2,0,426,38,30,2.2,2.2,78934,43817,0,0,0,0,0,4.2,5.8,190.2,177.6,1,2438,1796808,80
26,36,5731,312,224,0.8,0.8,155004,264757,0,0,0,0,3.2,0.2,0.2,48.8,134,3.2,249,1383946,81
86,106,2765,294,132,2.2,3.2,813180,55605,0,0,0,0,0.2,36,38.2,184.2,329.8,1.8,822,1050037,84
75,32,1442,166,163,0.4,0.4,392078,277539,22.36,46.71,46.71,0,2.79,33.73,64.67,35.13,82.63,3.8,251,1597281,86
1,1,224,27,22,0.2,0.2,93905,10793,0,0,0,0,0,0.2,0.2,15.63,16.83,2.2,7426,1869323,97
8,1,1986,229,137,1,1.4,265319,76638,0,0,0,0,0,0,0,96,131.2,3.4,2606,1540563,92
3,1,1909,303,103,1,4.01,1150630,27113,1,1,1.8,3.61,2,8.42,9.02,55.31,250.1,2.6,220,1099550,88
3,1,3109,210,383,0.8,1,123627,36022,1.2,7.4,16,23.2,0.6,7.8,8.6,67.2,98.6,2.2,203,1051835,85
5,0,594,107,67,2,2,46657,16271,0,0,0,0,0,0,0,76.6,132.2,2,1263,1767294,88
42,54,3844,490,336,4.98,2.79,380591,28167,0.4,0.4,15.34,59.96,4.98,6.97,10.16,304.58,518.92,2.2,151,998441,78
0,0,281,26,29,0.2,0.2,22484,40083,0,0,0,0,0,0,0,15.57,16.77,1,1852,1763705,90
36,49,1216,62,55,0.2,0.2,89409,9037,0,0,0,0,0,1,1.2,18.96,20.56,1.2,653,1728966,95
14,2,4407,228,211,1,1.2,46198,34261,1.2,1.2,1.2,0,1,13.6,17.2,82.4,151.4,2,420,1065842,84
5,0,1950,448,175,3.2,3,556152,25751,0,0,0,0,0,8.6,14.6,248.8,406.4,3,1297,1047098,74
1,1,154,8,12,0.2,0.2,7001,10981,0,0,0,0,0,0,0,15.4,16.8,1,7265,1875328,99
50,3,4572,219,101,9.18,21.76,505063,27195,2.99,3.59,7.19,8.18,9.18,5.39,6.59,377.05,637.13,3,165,1086970,69
4,2,1652,228,135,0.6,2,155437,16671,1.4,5.61,9.82,12.42,1.8,14.63,14.83,56.11,177.76,5,618,1124457,88
8,2,2725,176,97,2.2,2.4,409928,62603,0,0,0,0,0.2,7,11.4,111.6,334.2,6.4,1472,1309614,79
1,1,418,54,42,0.2,0.2,1439,17874,0,0,0,0,0,0.2,0.4,15.77,18.56,1,693,1731210,98
0,0,282,38,30,0.2,0.2,29983,7955,0,0,0,0,0,0,0,16.2,19.4,2,845,1722362,98
6,0,3304,376,142,1.2,2.4,1166853,25980,3.81,21.44,56.51,153.91,2.81,3.41,22.04,81.56,194.79,2.5,165,1092721,82
5,3,3618,246,176,0.2,0.2,100084,224588,5.2,12.4,14.6,6.2,0.4,3.2,5,15.4,54.6,3.8,181,1519798,89
27,16,3967,790,204,2.59,2.59,1889308,578939,72.26,163.27,208.38,195.41,0,13.17,16.57,190.82,354.29,171,68,30,0
4,2,234,13,15,0.8,0.4,14481,11215,0,0,0,0,0,0,0,47.4,63.8,1,6132,1856736,97
10,9,579,87,71,0.6,2,22680,20401,0,0,0,0,0,0.8,0.8,53.2,65,2.6,843,1008656,96
6,1,1434,154,101,2.6,5.8,53733,35765,0,0,0,0,0.4,3.8,4,138.2,217.2,1,2943,1011101,89
10,0,2045,322,283,6,1.4,168307,29811,0.6,0.8,0.8,0,0.2,1.2,1.2,267.6,372.4,1.4,346,1741760,82
6,3,1698,120,71,0.4,0.4,43357,36278,0,0,0,0,0,3.8,7.2,30.2,46.2,2.4,1703,1546931,94
1,1,1537,129,53,0.4,1.8,70679,42282,0,0,0,0,0,5.2,9.4,21.4,33.2,2,1727,1074430,92
15,11,3371,223,174,3,4.6,48615,22997,0.8,0.8,0.8,0,1.2,13.4,13.6,195,244.6,3.2,231,987485,85
6,5,3402,106,99,0.6,0.6,23385,58740,1.8,1.8,1.8,0,0.6,1.2,2,49.2,115.4,1.7,326,989523,91
1,0,1874,107,114,0.6,0.4,20679,184797,0,0,0,0,0,1.2,1.4,53.8,126.6,2.6,835,1017366,91
27,32,2899,249,194,3.19,2.4,72150,117011,6.39,12.77,9.18,0,0.2,16.77,19.56,166.07,314.17,2,361,1059804,82
62,84,1034,71,54,0.2,0.2,92170,79203,0,0,0,0,0,0.2,0.2,64.74,38.65,2.8,1303,1844602,95
5,1,1871,99,96,0.4,0.4,13170,37286,0,0,0,0,0.4,0.2,0.4,37.8,48.8,1,1059,1055131,93
1,0,1132,32,30,0.2,0.2,5381,22916,1.4,1.4,1.4,0,0,0.6,0.8,16.6,18.8,3.2,172,1714160,96
16,11,4393,810,380,1.19,0.99,495757,300434,0,0,0,0,0.6,36.78,42.94,68.99,250.89,1,433,987322,79
25,1,1109,83,72,5,3.2,136175,19238,4,5.8,17,36,1.4,0.6,0.6,208.8,332.8,2.4,314,1744074,83
3,0,1192,134,183,0.6,2.2,120758,22028,1,4.2,21.6,45,0.4,15.8,18,49.8,103.8,1.7,140,1057594,92
14,19,440,28,92,1.2,1.2,53079,609753,68.6,134.8,134.8,0,0,1.4,2,115.6,98.6,2.2,283,1783810,80
6,2,2239,84,106,0.8,0.8,28054,60978,0,0,0,0,0,4.2,5.8,47.4,73.2,3.6,490,1504586,84
55,68,4149,462,267,3.4,1.6,531019,385011,0.4,0.8,0.8,0,0.2,47.8,56.4,193,375.8,403,73,26,0
17,14,960,51,45,2.2,2,43138,21762,0,0,0,0,0.4,4.2,5.4,117.2,182.8,1,1133,1093691,94
98,105,2663,421,153,0.6,0.4,603068,499815,0,0,0,0,0,6,6.2,37.4,69,1.2,451,1044634,87
33,42,2995,183,140,0.4,0.4,41711,69821,0,0,0,0,0.2,0.2,0.2,31.4,60.4,1,598,1077210,88
21,14,4043,483,428,6,1.6,200212,31160,0.6,0.6,0.6,0,0,0.2,0.2,290.2,432.4,1,235,1074389,80
2,1,2648,257,164,0.4,0.6,106551,27902,0,0,0,0,0,0.8,1.2,34.87,71.14,2,916,1054447,89
1,1,2444,91,152,0.2,0.2,86880,23199,1.8,3.2,2.6,0,0,10.8,21,15.6,25,2.8,321,1703744,92
1,0,1743,149,150,0.4,2,64164,244496,0,0,0,0,0,0.6,0.6,31.8,63.8,3,393,1527189,93
57,55,1123,107,79,0.2,0.2,20746,36718,0,0,0,0,0,1.4,8.2,23.4,34,1.4,941,972674,93
33,40,731,112,72,2.79,2.99,318492,36947,0,0,0,0,0,2.4,2.59,227.94,225.55,2.2,1996,1812881,82
4,2,945,92,92,0.2,0.2,116107,76904,0,0,0,0,0,0,0,18.6,58,2.2,1454,1546534,96
4,3,1370,94,118,0.8,1,25625,99074,0,0,0,0,1.8,1.6,1.6,70.2,101.8,1,418,1113077,91
0,0,3197,108,72,0.2,0.2,6617,20668,0,0,0,0,0,0,0,15.2,16.8,1.8,1399,1753960,89
58,38,6469,314,340,0.4,0.4,461409,283782,25.15,86.03,184.63,344.51,5.39,60.28,100.8,57.68,242.71,3.8,122,999623,72
9,2,2285,157,109,6.79,19.96,23730,46926,0,0,0,0,0.2,7.98,8.58,230.94,432.14,1.4,562,1080802,76
2,0,303,27,24,1.6,1.6,31748,14620,0,0,0,0,0,1.2,1.4,141,124,1.2,6738,1853766,92
1,0,2486,135,99,0.4,0.8,44382,30344,0,0,0,0,0,0,0,36.8,34.8,2,437,1754147,89
21,6,5456,485,304,11.4,11,390051,40479,1,1,1,0,0.8,46.8,49.6,538.2,1260.4,1,530,982954,56
25,6,4636,705,485,6.6,2.2,467038,275586,3.6,5.2,5,0,4.4,4.8,7.6,340,489,5.8,326,1546581,66
7,0,2719,417,373,7.6,2,208007,21557,0,0,0,0,0.8,0,0,356.8,513.2,2.4,1566,1778386,80
106,49,2258,270,216,2,2,138625,103691,0,0,0,0,0.2,12.6,16,88,198.4,1,883,1010248,86
22,4,1650,223,205,1.8,1.6,33024,29856,6.6,24.6,75.8,196.2,1.6,20,105.8,92.6,167.8,4.5,158,1058141,86
4,2,2677,248,142,1.8,4.2,231107,38426,0,0,0,0,0,2.2,2.8,108.2,259.8,1.8,760,1117523,84
22,31,1564,89,75,0.4,0.4,31239,39031,0.8,0.8,0.8,0,0.4,2.2,2.6,40.6,36.4,367,95,5,0
1,0,3002,255,182,0.2,0.2,43151,35724,3.59,5.39,5.19,0,1,8.58,8.78,18.16,55.49,2.5,191,992311,89
18,4,3962,614,560,0.4,0.8,699997,400422,3,15,36.6,87,1.6,12.6,27.4,37.8,78.4,3.2,144,1396888,87
2,0,2959,372,250,1.4,1.4,946962,160148,9,37.6,87.6,228.8,0,31.4,49.6,82,194.8,1,152,1034645,82
0,0,3896,199,156,0.6,2.79,130609,63759,2.79,4.99,4.99,0,0.8,4.39,4.39,22.95,79.44,2.7,146,983954,88
2,1,837,42,50,0.4,0.6,3692,32235,0,0,0,0,0.2,1,1,32,179.8,1.5,771,1032677,95
4,0,889,77,36,2.59,5.19,134414,28946,0,0,0,0,0,7.19,12.38,234.73,208.78,1.4,6376,1847115,87
5,2,2157,180,105,2.8,3.4,191243,48792,5,18.4,30.2,44.8,1,5.6,5.8,160.2,297.4,3.6,168,1039970,86
5,0,1492,40,33,1.2,1.2,32114,19663,0.8,0.8,0.8,0,0,5.01,6.81,102.61,115.83,1,153,1066347,92
7,0,2834,43,43,1.6,1.6,110077,45701,0,0,0,0,0,1.2,2.2,102.8,201.8,2.2,1366,1637480,91
10,3,3768,463,264,2.2,0.8,235474,60534,8.8,11.6,12.8,3.8,25.6,8.2,9.2,118.8,233.2,1,157,1099117,81
4,1,2474,336,296,3.6,1,456198,349894,0,0,0,0,0,26,51.4,170.4,244,1.2,5872,1841914,83
13,1,3501,353,147,5.99,6.79,251468,31489,4.79,18.76,65.07,111.98,2.99,54.09,56.09,350.9,687.82,1,125,1084677,69
5,0,5369,247,227,3.01,2.81,149397,215582,5.41,12.63,25.45,41.08,2.2,13.43,15.03,146.29,299.8,3.2,181,993226,79
17,8,2515,293,132,2.2,2.2,513694,197703,0.8,0.8,0.8,0,1,7.39,9.18,134.33,257.49,1.2,441,1017961,82
28,44,1901,49,46,0.2,0.2,1549,7356,0,0,0,0,0,0,0,22.4,21,2.2,978,1761437,85
40,54,3432,390,328,3.41,4.81,415685,259602,13.23,27.66,36.87,58.32,8.22,9.82,9.82,166.93,396.59,1.5,401,1098783,77
5,2,2468,99,97,0.4,0.4,152648,32618,0,0,0,0,0,2.8,3.2,32.4,50.6,3.2,3414,1551606,95
5,0,3138,132,93,1.2,1.8,132558,48767,4,7.4,7.4,0,0,8.8,15.4,101.6,139.4,1.2,284,1001408,84
24,8,4345,269,206,2.8,1.8,393404,68604,7.2,13,12.6,0,1.6,4.6,5.8,170.4,235.6,347,83,17,0
2,0,238,22,35,0.2,0.2,4108,30354,0,0,0,0,0,0,0,17.37,16.77,2,6549,1702609,98
1,0,3483,294,283,0.8,2.6,621569,553056,18.8,70.8,183.6,384.6,6,44.8,83.2,41.8,75.2,6.2,132,994390,76
2,0,1240,87,83,0.4,0.6,21455,50048,0.6,0.8,0.8,0,0,3.99,6.39,75.45,104.99,679,93,7,0
0,0,2743,95,99,0.2,0.2,3089,5280,0,0,0,0,0,0.4,0.4,15.57,16.97,2,628,1755138,89
3,1,3736,161,145,0.4,0.4,10611,211654,0.4,0.4,0.4,0,0.2,1.8,1.8,31.54,60.08,2.2,277,1382574,92
1,0,5527,192,147,0.2,0.2,265066,88570,4.78,9.56,25.1,58.37,3.19,12.75,20.52,16.14,138.45,1.5,126,1010410,89
31,16,4495,326,186,3.4,4.4,356965,122565,0,0,0,0,0,1.8,1.8,211,418.2,6.2,1543,1328674,79
14,2,3770,339,231,1,1.2,410959,94864,5,10,18.4,46.8,2.4,21.2,23.8,104,164.2,4.4,153,1529242,85
2,1,4569,334,195,0.2,0.2,14031,82179,0,0,0,0,0,2.4,3.6,17,86.8,2,587,1077120,87
29,3,4067,174,126,2.8,3,296780,169853,7.2,33.8,70.4,183,0.8,18,21.2,211.4,349,5.4,179,1313411,82
0,0,153,11,22,0.2,0.2,3693,1972,0,0,0,0,0,0.2,0.4,15.6,16.8,1,6477,1871658,99
2,2,891,95,80,0.6,2.2,260246,123445,21.44,37.27,53.31,107.21,15.23,17.84,30.46,35.07,100.4,1,159,1032980,90
14,2,1965,256,109,1.39,1.79,338545,17826,0.2,0.2,0.2,0,3.97,7.54,11.71,99.6,189.68,2.8,305,996413,89
5,1,5473,335,200,1,1,908732,64771,0,0,0,0,0,0.8,1,71.2,130.6,1,480,1074680,85
1,0,1086,222,94,0.2,0.2,254286,276011,5.2,11,15.2,10,0,2.4,2.4,22,38.4,127,92,8,0
116,52,1417,197,142,3.6,6.2,165098,108109,3,12.8,12.8,0,1.6,23.8,33.8,190.8,343.2,1,311,982754,84
1,0,433,72,108,0.2,0.2,41766,51175,2.6,5.2,3.8,0,0,0.8,0.8,23.8,22.8,3,511,1715755,95
43,25,6291,390,288,4.6,5.6,257974,192468,0.8,5.4,1.2,0,1.4,1.4,2,223.8,379,7,2339,1327936,74
3,0,1960,164,105,0.6,0.8,186247,42768,7.19,26.55,49.3,92.22,1.2,45.71,48.9,51.5,113.77,3.8,136,1104960,86
11,1,4377,151,157,2.4,2.6,143728,165257,4,46.8,208.4,525,0.2,2.4,3.4,161.6,259.8,4.4,623,1622459,81
26,38,396,80,26,0.6,0.6,414176,17481,0,0,0,0,0,0,0,40.8,44.8,1.2,912,1762022,94
57,71,1776,170,126,0.4,0.6,6148,30329,0,0,0,0,0.2,1.2,1.2,36.27,74.15,1,347,1093060,89
25,9,2112,155,98,2.79,6.19,149522,27273,2.99,3.99,19.96,32.53,1.4,16.77,22.16,163.87,406.59,1.2,1645,951912,80
5,1,2598,182,69,0.6,1.2,756698,13776,0,0,0,0,0,0.4,0.8,64.6,84.2,2.8,2569,1702059,91
0,0,221,31,31,0.2,0.2,15128,19723,0,0,0,0,0,2.2,3,16.6,26.8,1,661,1734496,96
6,2,1322,51,51,0.4,0.4,27582,35275,2.99,3.99,3.99,0,0,2.4,2.99,35.33,43.91,334,95,5,0
2,1,415,58,31,1.4,1.2,126763,56055,0,0,0,0,0,0,0,79.8,128.6,3.4,824,1722403,95
1,0,2284,92,62,0.2,0.2,20074,11558,0,0,0,0,0,0.2,0.2,16.8,17.2,1.8,828,1750747,87
5,4,4051,210,173,0.6,1.2,23850,49089,0,0,0,0,0,2.2,2.8,66,73.4,1.5,710,990808,91
3,0,1905,173,129,1,1,165380,57897,0,0,0,0,0,1,1.4,126.95,99.4,1.5,943,1045870,89
4,0,4182,383,239,2.2,1.6,556305,413659,0,0,0,0,0,4.8,8.8,131.4,195,1.8,3443,1041373,86
19,28,454,198,62,0.2,0.2,328739,239199,0,0,0,0,0,0.2,0.2,15.6,40.2,2.2,1537,1746402,95
1,0,944,110,77,0.4,0.2,8785,20711,0,0,0,0,0,3.2,3.6,16.8,26,1,778,1020872,94
3,0,1876,188,110,2.8,3,44356,69197,0,0,0,0,0,0,0,208.4,321.6,2.6,2633,1702410,84
2,1,2201,96,49,0.6,1.4,365028,209294,0,0,0,0,0,41.2,81,59.6,146.8,3.2,2689,1730584,90
20,17,4119,280,171,0.6,0.6,401636,245747,0,0,0,0,0,3,5,119,55.2,4,1686,1325539,90
29,38,397,45,14,2.2,2.2,82212,8322,0,0,0,0,0,2,2.2,212.77,172.26,1.4,11431,1877507,88
2,1,1228,50,51,0.8,1.8,137951,42570,0,0,0,0,0,0.2,0.2,49.6,54.4,1.6,8293,1838978,96
14,12,4939,475,300,1,1.2,530441,632132,4,8.4,8.2,0,0.6,2,2,58.8,101,2.2,211,1042893,85
2,0,1861,223,120,0.8,0.6,232693,29510,0,0,0,0,0.6,4.6,4.8,56.2,136.6,2.2,434,1104610,92
11,3,2311,197,96,1.4,1.4,142319,28945,5.8,8.2,31,47.4,1.4,2.2,10.6,79,119.6,2.5,142,1112250,87
159,40,2443,299,262,1,1,240375,209450,0,0,0,0,0.2,18.2,34,80.4,154.6,2.8,536,1069565,87
68,77,2774,217,152,3.61,6.21,180351,57275,1.8,3.81,3.81,0,1.2,4.61,8.22,236.07,415.83,2.7,324,1055946,82
3,2,3833,575,489,0.8,2.2,43967,39891,0,0,0,0,0,0.4,0.4,119.8,57.6,2.2,1505,1725224,86
9,1,2707,183,125,0.2,0.2,36566,35855,0,0,0,0,0,1.2,1.4,18.2,28.2,3,1282,1058850,94
3,0,4944,257,200,0.6,2,228459,144888,0,0,0,0,0.2,4,5,84,82.6,3,2246,1533838,87
34,44,2335,167,135,1.78,0.59,125037,31276,0,0,0,0,4.36,3.37,3.56,101.78,185.74,2.6,587,1012445,89
11,1,2230,129,101,7.4,22.6,111719,49997,0.6,0.6,0.6,0,0,3.4,4,279.2,531.2,2.2,506,1078693,74
21,29,282,45,15,0.2,0.2,263872,15322,0,0,0,0,0,0,0,22.24,21.64,1.6,7862,1872056,96
3,0,1624,113,108,0.6,0.8,9744,23072,0,0,0,0,0,0,0,52.6,65.6,2,1172,971102,96
16,14,2626,218,118,1,1,773291,99704,0.8,1.6,1.6,0,0.2,3.2,5.6,48,216,6.4,627,1308659,87
50,1,3760,512,424,5.4,5,309000,188453,8.4,14,21,19,1.6,53.6,56.4,218.8,458.4,1.3,217,1085466,75
